title,revenue,budget,genres,release_date,original_language,profit
Light It Up,5985690,13000000,"Drama, Thriller",11/4/1999,en,-7014310
Jimmy Vestvood: Amerikan Hero,230069,2500000,Comedy,3/13/2016,en,-2269931
The Last American Hero,1000000,2000000,Drama,7/27/1973,en,-1000000
Old Fashioned,1914090,600000,"Romance, Drama",10/18/2014,en,1314090
Adrift in Manhattan,90272,4000000,Drama,1/10/2007,en,-3909728
Excessive Force,1200000,3000000,Action,5/14/1993,en,-1800000
A Damsel in Distress,1465000,1035000,"Comedy, Romance, Music",11/19/1937,en,430000
Guinevere,614202,2600000,"Drama, Romance",9/12/1999,en,-1985798
How About You...,706000,9000000,"Comedy, Drama",11/16/2007,en,-8294000
Ruby in Paradise,1001437,800000,"Drama, Romance",10/8/1993,en,201437
Undiscovered,1046166,9000000,"Comedy, Romance, Music",8/26/2005,en,-7953834
Telling Lies in America,318809,4000000,Drama,8/2/1997,en,-3681191
Bulletproof,807947,5000000,"Action, Thriller",4/20/1988,en,-4192053
The Last of the Finest,1531489,12000000,Crime,3/9/1990,en,-10468511
Manny & Lo,431326,500000,"Drama, Comedy",1/22/1996,en,-68674
The Blue Butterfly,1775619,12500000,"Adventure, Drama",2/20/2004,en,-10724381
Megiddo: The Omega Code 2,6000000,20000000,"Action, Thriller",9/7/2001,en,-14000000
Believe,284000,6000000,Drama,10/4/2013,en,-5716000
Track 29,429028,5000000,"Drama, Mystery",5/15/1988,en,-4570972
Rough Cut,16656125,14000000,"Adventure, Comedy, Crime, Mystery, Romance",6/19/1980,en,2656125
Sadie Thompson,7000000,1000000,"Drama, Romance",1/7/1928,en,6000000
The Care Bears Adventure in Wonderland,6000000,5000000,"Family, Animation",8/7/1987,en,1000000
Thank Your Lucky Stars,3621000,1568000,"Comedy, Music",9/25/1943,en,2053000
Bling,1404291,15000000,"Family, Animation",5/6/2016,en,-13595709
Mary of Scotland,1276000,864000,"Drama, History, Romance",7/28/1936,en,412000
Simpatico,929606,10000000,"Comedy, Drama",9/15/1999,en,-9070394
Play the Game,659483,1100000,"Comedy, Romance",2/27/2009,en,-440517
Mrs Palfrey at The Claremont,1720953,750000,"Comedy, Drama",11/25/2005,en,970953
Meet the Applegates,485772,5000000,"Comedy, Fantasy, Horror",11/8/1990,en,-4514228
Eye of the Dolphin,72310,2500000,"Drama, Family",8/24/2007,en,-2427690
Company Man,146193,16000000,Comedy,3/9/2000,en,-15853807
The Afflicted,175742,180000,"Horror, Thriller",10/22/2011,en,-4258
Roadside Romeo,1100000,7000000,"Animation, Family, Adventure, Comedy",10/24/2008,en,-5900000
Til There Was You,3525125,1000000,"Comedy, Romance",5/30/1997,en,2525125
Ode to Billy Joe,27000000,1100000,"Drama, Romance",6/4/1976,en,25900000
Claire of the Moon,799674,130000,"Drama, Romance",9/18/1992,en,669674
Sparrows,966878,463455,Drama,9/19/1926,en,503423
The Ambushers,10000000,4000000,"Action, Comedy",12/22/1967,en,6000000
Holy Ghost People,120000,2000000,"Drama, Thriller",3/10/2013,en,-1880000
Moscow Zero,62500,10000000,"Action, Horror, Drama",11/5/2006,en,-9937500
Crossroads,2321000,846000,"Crime, Mystery, Drama",7/23/1942,en,1475000
WWE Money in the Bank 2019,5556675,140777,"Action, Drama, Family, Thriller",5/19/2019,en,5415898
Sunshine Superman,88097,400000,Documentary,5/22/2015,en,-311903
Bathing Beauty,6892000,2361000,"Comedy, Music",6/27/1944,en,4531000
Tara Road,875898,12000000,Drama,5/11/2005,en,-11124102
Cameron's Closet,136203,7000000,Horror,12/2/1988,en,-6863797
Lianna,1530839,300000,"Drama, Romance",1/19/1983,en,1230839
Annie Oakley,620000,354000,"Drama, Western, Comedy",11/15/1935,en,266000
Where the Boys Are,3500000,2000000,"Comedy, Drama, Romance",12/28/1960,en,1500000
Five Star Final,822000,310000,"Crime, Drama",9/26/1931,en,512000
Swoon,340147,250000,Drama,9/11/1992,en,90147
A Different Loyalty,574672,13000000,"Thriller, Romance",5/16/2004,en,-12425328
Algiers,951801,691833,"Drama, Mystery, Romance, Crime",1/16/1938,en,259968
The Mysterious Lady,551000,337000,"Adventure, Drama",8/4/1928,en,214000
The Silver Chalice,3200000,4500000,"Drama, Romance, History",12/20/1954,en,-1300000
Jackson County Jail,2300000,445000,"Crime, Drama",3/31/1976,en,1855000
Iron Maiden: Rock In Rio,10000000,1000000,"Music, Documentary",7/16/2002,en,9000000
The Myth of Fingerprints,458815,2000000,"Drama, Comedy, Romance",9/17/1997,en,-1541185
Love Crazy,2000000,889900,"Comedy, Romance",5/23/1941,en,1110100
This Is Elvis,2028612,5000000,"Drama, Music, Documentary",4/3/1981,en,-2971388
"Kiss Me, Guido",1918497,740000,Comedy,7/18/1997,en,1178497
The Keeper,73788,4000000,"Crime, Drama, Thriller",5/14/2004,en,-3926212
Romance on the High Seas,3225000,2532000,"Comedy, Romance",6/25/1948,en,693000
Stolen Summer,163348,1800000,"Drama, Family, Comedy",3/22/2002,en,-1636652
Stateside,174318,16000000,"Drama, Music, Romance",5/23/2004,en,-15825682
Original Gangstas,3014000,4800000,"Action, Drama, Crime, Thriller",5/10/1996,en,-1786000
Warlords of the 21st Century,3000000,1000000,"Science Fiction, Action, Adventure",1/1/1982,en,2000000
Felix the Cat: The Movie,1964253,9000000,"Animation, Family",10/1/1988,en,-7035747
Cry Wolf,2690000,1461000,"Mystery, Thriller",8/19/1947,en,1229000
El Condor,4500000,35000000,Western,6/19/1970,en,-30500000
The Gun in Betty Lou's Handbag,3721911,13000000,"Comedy, Thriller, Mystery",8/21/1992,en,-9278089
Bad Girl,1100000,100000,"Romance, Drama",8/13/1931,en,1000000
The 5th Quarter,399611,6000000,Drama,4/8/2010,en,-5600389
Tickle Me,5000000,1500000,"Comedy, Music, Romance, Western",6/30/1965,en,3500000
Men with Brooms,4245870,7500000,"Comedy, Romance",9/20/2002,en,-3254130
Virginia City,2372567,1179000,"Action, Drama, Romance, Western",3/23/1940,en,1193567
Burn,111300,225000,Documentary,11/1/2012,en,-113700
Crackers,129268,12000000,"Action, Comedy, Crime",2/17/1984,en,-11870732
It's a Great Feeling,2713000,1452000,"Comedy, Music",8/1/1949,en,1261000
Do Not Disturb,8000000,3890000,"Comedy, Romance",12/22/1965,en,4110000
Paws,1778391,137731,"Adventure, Family, Fantasy",9/25/1997,en,1640660
The Good Mother,4764606,14000000,"Drama, Romance",11/4/1988,en,-9235394
Harum Scarum,3100000,2400000,"Comedy, Crime, Music, Romance",12/15/1965,en,700000
Baby Face Nelson,1250000,250000,"Crime, Drama",12/11/1957,en,1000000
The Blue Bird,887000,12000000,"Adventure, Family, Fantasy, Drama",4/5/1976,en,-11113000
Only The Brave,150000,3300000,"Drama, War",10/23/2006,en,-3150000
London After Midnight,1000000,151666,"Horror, Drama",12/3/1927,en,848334
The Sea of Grass,4689000,2349000,"Drama, Western",4/25/1947,en,2340000
Four Eyed Monsters,245000,250000,"Comedy, Drama, Fantasy, Romance",1/21/2005,en,-5000
The Fast and the Furious,250000,66000,"Action, Crime, Drama",11/1/1954,en,184000
The Ten Commandments,952820,10000000,"Animation, Drama, Family, History",10/19/2007,en,-9047180
Alexander's Ragtime Band,4000000,2000000,"Drama, Music, Romance",5/24/1938,en,2000000
Under the Rainbow,2297493,20000000,Comedy,7/31/1981,en,-17702507
The Human Comedy,3900000,1000000,"Comedy, Drama, Family",3/2/1943,en,2900000
Middle of Nowhere,2368060,2000000,Drama,10/12/2012,en,368060
"Bodies, Rest & Motion",764083,2500000,"Drama, Romance",4/9/1993,en,-1735917
It Runs in the Family,70936,15000000,"Comedy, Family",9/23/1994,en,-14929064
Bran Nue Dae,6812530,7000000,"Comedy, Drama, Romance",8/9/2009,en,-187470
The Real Cancun,5345083,7500000,Documentary,4/23/2003,en,-2154917
The Valley of Decision,9132000,2160000,Drama,5/3/1945,en,6972000
Plain Clothes,289323,7500000,"Comedy, Thriller, Mystery, Romance, Action",4/15/1988,en,-7210677
Mike's Murder,1059966,6300000,"Drama, Mystery, Thriller",3/9/1984,en,-5240034
Pinocchio and the Emperor of the Night,3261638,8000000,"Animation, Adventure, Family",8/6/1987,en,-4738362
No Safe Spaces,1291514,686599,Documentary,10/25/2019,en,604915
Bordertown,1237000,369000,"Crime, Drama",1/23/1935,en,868000
Anthony Adverse,2750000,1192000,"Drama, Romance, Adventure, History",8/26/1936,en,1558000
The Tie That Binds,5830454,14000000,Thriller,9/8/1995,en,-8169546
At Long Last Love,1500000,6000000,"Comedy, Music, Romance",3/1/1975,en,-4500000
A Four Letter Word,72348,125000,"Comedy, Romance",5/4/2007,en,-52652
Madison,517262,13500000,"Adventure, Action, Drama",1/23/2001,en,-12982738
Roommates,12400000,22000000,"Drama, Comedy",3/3/1995,en,-9600000
It Came from Hollywood,2091037,5000000,"Comedy, Documentary",12/10/1982,en,-2908963
Buck Privates Come Home,2365000,1167500,"Comedy, Romance, Action",4/4/1947,en,1197500
Opal Dream,140666,5000000,"Drama, Family",7/12/2006,en,-4859334
Married to It,2059832,14000000,"Comedy, Romance",9/11/1991,en,-11940168
Blood of Dracula,2000000,82000,Horror,11/1/1957,en,1918000
"Car 54, Where Are You?",1238080,10700000,"Action, Comedy",1/28/1994,en,-9461920
"Sister, Sister",743445,4000000,"Romance, Thriller, Drama, Mystery",9/13/1987,en,-3256555
Search and Destroy,389503,4000000,"Action, Comedy, Drama, Thriller",4/23/1995,en,-3610497
Love Finds Andy Hardy,2247000,212000,"Comedy, Romance",7/22/1938,en,2035000
Faithful,2104439,13000000,"Comedy, Crime, Drama",4/3/1996,en,-10895561
Till the Clouds Roll By,6724000,3316000,Music,12/5/1946,en,3408000
The Boys & Girls Guide to Getting Down,14487294,2100000,"Comedy, Documentary",3/23/2007,en,12387294
Goodbye Pork Pie,1400000,300000,"Adventure, Comedy",2/5/1981,en,1100000
Valley of Flowers,130742,6000000,"Adventure, Drama, Romance",7/15/2006,en,-5869258
Grand Central Murder,515000,250000,"Mystery, Crime, Comedy",5/1/1942,en,265000
U2 3D,22730842,15000000,"Music, Documentary",5/19/2007,en,7730842
The Painted Veil,1120000,947000,"Drama, Romance",11/23/1934,en,173000
Finishing the Game: The Search for a New Bruce Lee,52868,500000,"Comedy, Documentary",1/21/2007,en,-447132
Wilson,2000000,2995000,"Drama, History",8/1/1944,en,-995000
Love Letters,5269990,550000,"Drama, Romance",4/1/1983,en,4719990
Sea Rex 3D: Journey to a Prehistoric World,4074023,5000000,Documentary,5/14/2010,en,-925977
Cops and Robbers,5500000,5500000,"Action, Crime",12/12/2017,en,0
Camilla,250993,8500000,"Adventure, Drama, Comedy, Family",11/25/1994,en,-8249007
The Bride Wore Red,1200000,960000,"Comedy, Drama, Romance",10/8/1937,en,240000
Hitler's Children,3355000,205000,"Romance, War",1/6/1943,en,3150000
Big Brown Eyes,359009,289696,"Comedy, Mystery",4/3/1936,en,69313
Chasing Ghosts,1102000,2000000,"Crime, Mystery, Thriller",5/11/2005,en,-898000
Believe,890303,3500000,Drama,12/2/2016,en,-2609697
Green Fire,1829000,1768000,"Adventure, Drama",12/29/1954,en,61000
Steal Big Steal Little,6278139,25000000,"Comedy, Drama",9/29/1995,en,-18721861
Black Rose,855450,7000000,"Action, Crime, Drama, Thriller",4/17/2014,en,-6144550
Hardly Working,49000000,3400000,Comedy,1/30/1980,en,45600000
Let's Do It Again,11800000,70000,"Comedy, Crime",10/11/1975,en,11730000
The Sky's the Limit,2185000,871000,"Comedy, Romance, Music",7/13/1943,en,1314000
Ruby,919286,9000000,"Drama, Action, Thriller, Crime",3/27/1992,en,-8080714
The Flim-Flam Man,1200000,384500,Comedy,8/22/1967,en,815500
Fighter Pilot: Operation Red Flag,30000000,5000000,Documentary,12/2/2004,en,25000000
No Looking Back,222099,5000000,"Drama, Romance",3/27/1998,en,-4777901
Miranda,834332,784170,"Comedy, Fantasy, Romance",4/6/1948,en,50162
Brenda Starr,67878,16000000,"Adventure, Fantasy, Comedy, Romance",5/15/1989,en,-15932122
Our Dancing Daughters,1099000,178000,"Drama, Romance",9/1/1928,en,921000
Star of Midnight,831000,280000,"Comedy, Mystery, Romance",4/19/1935,en,551000
Joshua,1347988,9000000,Drama,4/19/2002,en,-7652012
Fashions of 1934,965000,317000,"Comedy, Drama, Music",2/14/1934,en,648000
Martin Lawrence Live: Runteldat,19184015,3000000,Comedy,8/1/2002,en,16184015
Bliss,660537,3400000,"Comedy, Drama, Romance",10/4/1985,en,-2739463
Brigham City,852206,1000000,"Crime, Mystery, Drama",3/30/2001,en,-147794
Heartbeeps,2154696,12000000,"Comedy, Romance, Family",12/18/1981,en,-9845304
Young Soul Rebels,53502,3025379,"Drama, Mystery, Music",8/9/1991,en,-2971877
Tell It to the Marines,1250000,433000,"Action, Comedy, Drama",12/23/1926,en,817000
Portrait in Black,9200000,1400000,"Drama, Thriller",7/27/1960,en,7800000
Woman Thou Art Loosed,6804016,3000000,Drama,9/30/2004,en,3804016
Mickey,8000000,250000,"Comedy, Drama",8/1/1918,en,7750000
Raggedy Ann & Andy: A Musical Adventure,1500000,4000000,"Animation, Adventure, Music, Family, Fantasy, Comedy",4/1/1977,en,-2500000
Broadway Bill,1400000,668900,"Comedy, Drama",11/30/1934,en,731100
Saratoga,3252000,1100000,"Drama, Romance, Comedy",7/23/1937,en,2152000
Welcome Danger,3000000,979828,Comedy,10/12/1929,en,2020172
My Best Girl,1027757,483103,"Drama, Comedy, Romance",10/31/1927,en,544654
The Little Traitor,450000,1700000,Drama,1/10/2009,en,-1250000
The Barretts of Wimpole Street,1258000,820000,"Drama, Romance",9/21/1934,en,438000
The Ape,225000,225000,"Drama, Comedy",6/18/2005,en,0
Marjorie Morningstar,3000000,2000000,"Drama, Romance",4/24/1958,en,1000000
Drain the Bermuda Triangle,4000000,2000000,Documentary,10/30/2014,en,2000000
The Big Shot,1783000,417000,"Crime, Drama",6/13/1942,en,1366000
Honky Tonk Freeway,939423,24000000,"Action, Comedy",8/21/1981,en,-23060577
Sphinx,2022771,14000000,"Adventure, Mystery, Thriller",2/11/1981,en,-11977229
Josh and S.A.M.,1528163,18000000,"Adventure, Action, Comedy",11/24/1993,en,-16471837
Dragon Seed,4627000,3070000,Drama,7/20/1944,en,1557000
Body Rock,1689501,6000000,"Music, Drama",9/28/1984,en,-4310499
"Tom, Dick and Harry",1628000,806000,"Comedy, Fantasy, Romance",6/13/1941,en,822000
"Love, Sex, and Eating the Bones",321000,2500000,"Comedy, Romance",9/6/2003,en,-2179000
The Lost Squadron,732000,621000,"Drama, Action, War, History",3/12/1932,en,111000
PAW Patrol: The Mighty Movie,47400000,30000000,"Animation, Family, Comedy, Action, Science Fiction",9/21/2023,en,17400000
Noah's Ark,2305000,1005000,"Drama, War",11/1/1928,en,1300000
Gumby: The Movie,57100,2800000,"Fantasy, Animation, Family, Music, Adventure, Science Fiction, Western",10/4/1995,en,-2742900
Mother Teresa of Calcutta,15000000,7000000,"Drama, TV Movie",10/19/2003,en,8000000
April Love,3700000,1425000,"Comedy, Drama",11/27/1957,en,2275000
The Treatment,82701,900000,"Comedy, Drama, Romance",5/4/2007,en,-817299
King of the Mountain,958000,2000000,"Drama, Action",5/1/1981,en,-1042000
Off Beat,4842778,10000000,Comedy,4/10/1986,en,-5157222
Island in the Sun,5000000,3000000,"Drama, Romance",6/12/1957,en,2000000
Hearts of the West,1600000,2000000,"Comedy, Western",10/8/1975,en,-400000
The Best Two Years,1163450,400000,"Comedy, Drama",2/20/2004,en,763450
Naughty Marietta,2057000,782000,"Music, Romance, Drama",3/29/1935,en,1275000
Civil Brand,243347,500000,"Crime, Drama, Thriller",8/29/2003,en,-256653
Trois 2: Pandora's Box,833779,800000,"Drama, Thriller, Romance",8/9/2002,en,33779
Lightning Strikes Twice,1144000,1108000,"Crime, Drama, Mystery, Thriller",4/12/1951,en,36000
The Cry Baby Killer,600000,50000,Crime,8/15/1958,en,550000
One Minute to Zero,1600000,2181000,"War, Drama, Romance",9/19/1952,en,-581000
Fall,51266,1000000,"Drama, Romance",6/20/1997,en,-948734
Crackerjack,6500000,2600000,Comedy,7/11/2002,en,3900000
Forsaking All Others,2199000,420069,"Comedy, Drama, Romance",12/23/1934,en,1778931
Our Blushing Brides,1211000,337000,Drama,7/19/1930,en,874000
Pinkfinger,2221487,2221487,"Animation, Comedy, Family",5/13/1965,en,0
The Work and the Glory,3347647,7500000,"Drama, Romance",11/24/2004,en,-4152353
Ah Boys To Men,6180000,3000000,Comedy,11/7/2012,en,3180000
Andy Hardy Comes Home,610000,313000,Comedy,12/22/1958,en,297000
The Bride Walks Out,670000,289000,"Comedy, Romance",7/10/1936,en,381000
The House Across the Bay,684374,713965,Drama,3/1/1940,en,-29591
The Wayward Bus,1750000,1465000,Drama,5/27/1957,en,285000
VeggieTales: The Toy That Saved Christmas,1333823,1333823,"Family, Animation",10/22/1996,en,0
The Amateur,6892098,8338578,"Action, Crime, Thriller",12/11/1981,en,-1446480
The Figurine: Araromire,200000,300000,"Drama, Horror, Mystery",10/2/2009,en,-100000
The Work and the Glory II: American Zion,2025032,6500000,"Drama, Western",10/21/2005,en,-4474968
A Woman Rebels,583000,574000,"Drama, Romance",11/6/1936,en,9000
Hillsong: Let Hope Rise,2600000,10000000,"Documentary, Music",9/16/2016,en,-7400000
"Aloha, Bobby and Rose",35000000,60000,"Drama, Romance, Action",4/29/1975,en,34940000
Valley of Bones,168738,3000000,"Western, Crime, Thriller",9/1/2017,en,-2831262
Deep in My Heart,3978000,2504000,"Comedy, Drama, Music",12/9/1954,en,1474000
The Miracle of the Bells,2100000,2000000,Drama,3/27/1948,en,100000
Battle Circus,2362000,1201000,"Drama, Romance, War",3/6/1953,en,1161000
The Warning,500000,500000,Horror,12/21/2012,en,0
Clash of the Wolves,270000,89000,"Western, Adventure, Romance",11/17/1925,en,181000
"The Bread, My Sweet",1023156,600000,"Drama, Romance",4/21/2001,en,423156
VeggieTales: Josh and the Big Wall,4078230,4078230,"Family, Animation",9/1/1997,en,0
IMAX Dolphins and Whales: Tribes of the Ocean,7518876,6000000,Documentary,2/15/2008,en,1518876
Ascendant,318989,20000000,"Mystery, Science Fiction, Thriller",4/8/2021,en,-19681011
The Stewardesses,27000000,100000,Comedy,7/25/1969,en,26900000
Sankofa,2691899,1000000,"Drama, Fantasy, History, Science Fiction",5/28/1993,en,1691899
Lucky Lady,24441725,13000000,"Crime, Comedy",12/25/1975,en,11441725
The Adventures of Marco Polo,1700000,2000000,"Romance, Adventure",4/7/1938,en,-300000
Illegally Yours,259019,13000000,"Comedy, Romance",5/13/1988,en,-12740981
The Corrs: Live at the Royal Albert Hall,1000000,100000,Music,8/28/1998,en,900000
Armed Response,1300000,1500000,"Action, Thriller",10/1/1986,en,-200000
The Black Room,2160000,250000,"Horror, Thriller",12/9/1982,en,1910000
Camp,325000,200000,Drama,2/22/2013,en,125000
Beachhead,1400000,450000,War,2/5/1954,en,950000
Our Modern Maidens,857000,283000,"Drama, Comedy",9/8/1929,en,574000
Any Number Can Play,3205000,1363000,Drama,7/15/1949,en,1842000
Kevin Bridges: The Story Continues...,2500000,500000,Comedy,11/11/2012,en,2000000
Trois,1160268,200000,"Drama, Thriller, Romance",2/11/2000,en,960268
The Beautiful Blonde from Bashful Bend,2889000,2192000,"Action, Comedy, Romance, Western",5/27/1949,en,697000
Danger Signal,1110000,471000,"Crime, Drama, Romance",11/21/1945,en,639000
A Family Affair,502000,178000,Comedy,3/12/1937,en,324000
The Belle of New York,1982000,2563000,"Music, Romance, Comedy",2/22/1952,en,-581000
Blood Done Sign My Name,82739,10000000,"Drama, Crime",2/1/2010,en,-9917261
One Night of Love,2500000,733150,"Music, Romance",7/16/1934,en,1766850
Pickled Pink,2436635,2436635,"Animation, Comedy, Family",5/12/1965,en,0
After Office Hours,1281000,366000,"Crime, Drama, Romance",2/22/1935,en,915000
Hollywood & Wine,8000000,5000000,"Comedy, Thriller",5/3/2011,en,3000000
Trouble Is My Business,679000,250000,"Adventure, Mystery, Romance, Thriller",4/3/2018,en,429000
Kismet,1827000,3015000,"Adventure, Fantasy, Romance",10/1/1944,en,-1188000
Disappearances,312642,1500000,"Action, Adventure, Drama",5/11/2007,en,-1187358
Man About Dog,2600000,2400000,Comedy,10/1/2004,en,200000
Beau Geste,1500000,900000,"Action, Adventure, Drama",8/24/1926,en,600000
Shadow of a Woman,732000,427000,Drama,9/14/1946,en,305000
The Gorgeous Hussy,2019000,1119000,"Drama, History",8/28/1936,en,900000
Inchon,5200000,46000000,"History, War, Drama",9/17/1982,en,-40800000
Across to Singapore,596000,290000,"Adventure, Drama",4/7/1928,en,306000
Preacherman,5000000,65000,"Drama, Comedy",1/1/1971,en,4935000
Trader Horn,4200000,1300000,"Action, Adventure",2/3/1931,en,2900000
Time of Her Life,75000,100000,"Horror, Mystery, Romance, Fantasy",3/3/2006,en,-25000
Yolanda and the Thief,1791000,2443322,"Fantasy, Music, Romance",11/22/1945,en,-652322
Beau Brummel,495000,343000,Drama,3/30/1924,en,152000
This Could Be the Night,1520000,1560000,"Comedy, Drama",5/14/1957,en,-40000
SEED: The Untold Story,209752,650000,Documentary,9/23/2016,en,-440248
VeggieTales: The Ballad of Little Joe,352571,352571,"Family, Animation, Adventure, Western, Drama, Comedy, Fantasy",8/17/2003,en,0
The Lady of Heaven,74441,15000000,"Action, History, Drama",12/10/2021,en,-14925559
Ask Any Girl,3745000,1140000,"Comedy, Romance",8/21/1959,en,2605000
Spirit of the Game,222565,3200000,Drama,10/8/2016,en,-2977435
The Women of Brewster Place,100000,1200000,Drama,3/19/1989,en,-1100000
The Devil Makes Three,1485000,1005000,"Crime, Romance, Thriller",9/19/1952,en,480000
Forever Fever,570000,1070000,"Comedy, Music, Romance",5/28/1998,en,-500000
Lights of New York,1200000,75000,"Crime, Drama",7/18/1928,en,1125000
A Place Called Chiapas,229000,891000,Documentary,2/20/1998,en,-662000
Moonshine County Express,1000000,700000,"Action, Crime, Drama",6/1/1977,en,300000
The Adventures of Mark Twain,2350000,1623000,"Adventure, Drama",7/20/1944,en,727000
The Penguins of Madagascar: Operation Antarctica,1000000,30000,"Comedy, Animation",1/16/2012,en,970000
Push,590000,1100000,Drama,6/1/2006,en,-510000
Emma,1972000,350000,"Drama, Comedy",1/2/1932,en,1622000
Dire Straits: On The Night,10000000,1000000,Music,5/11/1993,en,9000000
Table for Five,2439705,8000000,"Drama, Romance",2/18/1983,en,-5560295
Peter Gabriel - Live In Athens 1987,1000000,100000,Music,9/13/2013,en,900000
Andy Hardy's Double Life,2647000,369000,"Comedy, Family, Romance",12/1/1942,en,2278000
Gaby: A True Story,125400,5000000,"Drama, Romance",10/30/1987,en,-4874600
Love Laughs at Andy Hardy,2359000,1001000,"Comedy, Romance",12/25/1946,en,1358000
Three Little Words,4526000,1470000,"Comedy, Music, Romance",7/12/1950,en,3056000
ZZ Top - Live from Texas,1000000,100000,Music,6/24/2008,en,900000
A Yank at Oxford,2736000,1374000,"Drama, Romance",2/18/1938,en,1362000
All the Young Men,2000000,1000000,"Action, Adventure, Drama, War",8/26/1960,en,1000000
Cold Harvest,110765,3600000,"Action, Science Fiction",9/11/1999,en,-3489235
Dream Theater: Score - 20th Anniversary World Tour,10000000,1000000,Music,8/29/2006,en,9000000
UFC 100: Lesnar vs. Mir 2,5128490,1790000,,7/11/2009,en,3338490
Mickey,293793,6000000,"Drama, Family",4/30/2004,en,-5706207
Lucky Miles,568864,2600000,"Drama, Comedy",7/19/2007,en,-2031136
"Veritas, Prince of Truth",160487,5000000,"Adventure, Family, Fantasy",3/24/2007,en,-4839513
As You Desire Me,1362000,460733,Drama,5/28/1932,en,901267
Central Airport,747000,421000,Drama,4/15/1933,en,326000
Lookin' to Get Out,946461,17000000,Comedy,10/8/1982,en,-16053539
How the Grinch Stole Christmas! Documentary,100000,30000,"Animation, Documentary, Family, Fantasy",1/1/1994,en,70000
"Yes, Giorgio",2279543,19000000,"Music, Drama, Comedy, Romance",9/24/1982,en,-16720457
The Battles of the Coronel and Falkland Islands,6241682,1603469,"Drama, Documentary",10/26/1927,en,4638213
Belle of the Nineties,1300000,800000,"Drama, Comedy",9/21/1934,en,500000
The Wild North,4007000,1282000,"Adventure, Romance, Western",1/28/1952,en,2725000
Hard Contract,1750000,4000000,"Crime, Romance",4/30/1969,en,-2250000
Native Son,1301121,2000000,Drama,12/24/1986,en,-698879
Andy Hardy Meets Debutante,2623000,436000,"Comedy, Family, Romance",7/5/1940,en,2187000
Edison And Leo,1000000,10000000,"Animation, Fantasy, Comedy, Romance, Adventure, Horror",9/4/2008,en,-9000000
Revelation,206626,1500000,"Action, Horror, Thriller",5/7/1999,en,-1293374
Bopha!,212483,12000000,Drama,9/16/1993,en,-11787517
There Goes My Baby,123509,10500000,"Drama, Comedy",9/2/1994,en,-10376491
Ah Boys To Men 2,5600000,2120000,"Comedy, Drama, War",1/31/2013,en,3480000
Romeo & Juliet: Sealed with a Kiss,462107,2000000,"Romance, Family, Animation",6/23/2006,en,-1537893
Mercy Streets,173599,600000,"Action, Adventure, Drama",10/31/2000,en,-426401
Eric Clapton's Crossroads Guitar Festival 2010,1000000,100000,Music,6/26/2010,en,900000
Zindagi Jhand Hai,1001034,56000,"Romance, Thriller",4/15/2020,en,945034
Kicked in the Head,102739,4000000,"Comedy, Crime, Drama, Romance",9/26/1997,en,-3897261
The Adventures of Lucky Pierre,212200,45000,Comedy,4/22/1962,en,167200
Moshi Monsters: The Movie,2900000,1849089,"Adventure, Animation, Family, Comedy, Fantasy",12/20/2013,en,1050911
Strange Interlude,1237000,654000,Drama,12/30/1932,en,583000
Parrish,4200000,1500000,"Drama, Romance",5/4/1961,en,2700000
The Happy Road,950000,575000,Comedy,6/20/1957,en,375000
The Work and the Glory III: A House Divided,1325092,6500000,"Drama, Western",11/22/2006,en,-5174908
Burke & Wills,1600000,9000000,"History, Adventure, Drama",10/30/1985,en,-7400000
Dream Theater: Images And Words - Live In Tokyo,1000000,100000,Music,8/1/1993,en,900000
The Beat Generation,750000,439000,Crime,7/3/1959,en,311000
Fremont,281126,3000000,"Comedy, Drama",8/25/2023,en,-2718874
Zonad,2500000,3000000,Comedy,3/17/2010,en,-500000
Church Ball,464991,1000000,Comedy,3/17/2006,en,-535009
Everybody Sing,1003000,795000,"Music, Comedy, Romance",1/1/1938,en,208000
Cass Timberlane,5186000,2733000,"Drama, Romance",11/6/1947,en,2453000
Wabash Avenue,2039000,2115000,Music,3/31/1950,en,-76000
Dingo,300000,200000,"Drama, Music",6/2/1991,en,100000
The Pleasure Seekers,2000000,2100000,"Comedy, Music, Romance",12/25/1964,en,-100000
Tequila Body Shots,9037000,1700000,"Thriller, Horror, Comedy",5/7/1999,en,7337000
Dennis the Menace,117270765,35000000,"Family, Comedy",9/18/1987,en,82270765
Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness?,2100000,500000,"Comedy, Music",3/19/1969,en,1600000
Golden Earrings,7000000,1000000,"Adventure, Romance",8/27/1947,en,6000000
Ayurveda: Art of Being,2074000,300000,Documentary,9/20/2001,en,1774000
Coney Island,3305000,1620000,"Comedy, Music",6/18/1943,en,1685000
Tina Turner: Live In Amsterdam - Wildest Dreams Tour,10000000,1000000,Music,11/1/1996,en,9000000
Housos vs. Authority,1386692,200000,Comedy,11/1/2012,en,1186692
UFC 96: Jackson vs. Jardine,1800000,762000,,3/7/2009,en,1038000
Sweet Country,2000000,3200000,"Drama, History",1/23/1987,en,-1200000
His Only Son,11480048,250000,"Drama, Fantasy",3/30/2023,en,11230048
The Divine Woman,931000,266817,Drama,1/13/1928,en,664183
UFC 102: Couture vs. Nogueira,1920000,1285000,,8/29/2009,en,635000
